"Date","Price"
15-07-2021,4.582
14-07-2021,4.572
13-07-2021,4.554
10-07-2021,4.535
09-07-2021,4.518
08-07-2021,4.537
07-07-2021,4.570
06-07-2021,4.584
03-07-2021,4.563
02-07-2021,4.538
01-07-2021,4.518
30-06-2021,4.520
29-06-2021,4.521
26-06-2021,4.528
25-06-2021,4.529
24-06-2021,4.524
23-06-2021,4.514
22-06-2021,4.497
19-06-2021,4.491
18-06-2021,4.484
17-06-2021,4.471
16-06-2021,4.451
15-06-2021,4.442
12-06-2021,4.429
11-06-2021,4.420
10-06-2021,4.410
09-06-2021,4.413
08-06-2021,4.411
03-06-2021,4.378
02-06-2021,4.360
29-05-2021,4.344
28-05-2021,4.332
27-05-2021,4.326
26-05-2021,4.314
25-05-2021,4.314
22-05-2021,4.297
21-05-2021,4.311
20-05-2021,4.306
19-05-2021,4.374
18-05-2021,4.372
15-05-2021,4.365
14-05-2021,4.360
13-05-2021,4.373
12-05-2021,4.361
11-05-2021,4.354
08-05-2021,4.355
07-05-2021,4.346
06-05-2021,4.334
05-05-2021,4.308
01-05-2021,4.282
30-04-2021,4.275
29-04-2021,4.259
28-04-2021,4.245
27-04-2021,4.236
24-04-2021,4.243
23-04-2021,4.243
22-04-2021,4.249
21-04-2021,4.240
20-04-2021,4.266
17-04-2021,4.277
16-04-2021,4.262
15-04-2021,4.246
14-04-2021,4.226
13-04-2021,4.236
10-04-2021,4.233
09-04-2021,4.245
08-04-2021,4.254
07-04-2021,4.277
02-04-2021,4.285
01-04-2021,4.294
31-03-2021,4.299
30-03-2021,4.264
27-03-2021,4.259
26-03-2021,4.226
25-03-2021,4.241
24-03-2021,4.233
23-03-2021,4.246
20-03-2021,4.265
19-03-2021,4.289
18-03-2021,4.317
17-03-2021,4.339
16-03-2021,4.344
13-03-2021,4.339
12-03-2021,4.332
11-03-2021,4.329
10-03-2021,4.346
09-03-2021,4.330
06-03-2021,4.273
05-03-2021,4.224
04-03-2021,4.207
03-03-2021,4.216
02-03-2021,4.229
27-02-2021,4.234
26-02-2021,4.232
25-02-2021,4.218
24-02-2021,4.196
23-02-2021,4.191
20-02-2021,4.179
19-02-2021,4.174
18-02-2021,4.157
17-02-2021,4.136
16-02-2021,4.130
13-02-2021,4.105
12-02-2021,4.103
11-02-2021,4.088
10-02-2021,4.081
09-02-2021,4.056
06-02-2021,4.038
05-02-2021,4.006
04-02-2021,3.998
03-02-2021,3.981
02-02-2021,3.968
30-01-2021,3.964
29-01-2021,3.959
28-01-2021,3.956
27-01-2021,3.948
26-01-2021,3.942
23-01-2021,3.957
22-01-2021,3.969
21-01-2021,3.991
20-01-2021,3.992
19-01-2021,3.990
16-01-2021,3.988
15-01-2021,3.994
14-01-2021,3.983
13-01-2021,3.966
12-01-2021,3.936
09-01-2021,3.918
08-01-2021,3.904
06-01-2021,3.883
05-01-2021,3.870
01-01-2021,3.872
31-12-2020,3.836
30-12-2020,3.834
24-12-2020,3.829
23-12-2020,3.819
22-12-2020,3.815
19-12-2020,3.835
18-12-2020,3.810
17-12-2020,3.794
16-12-2020,3.794
15-12-2020,3.774
12-12-2020,3.780
11-12-2020,3.779
10-12-2020,3.748
09-12-2020,3.747
08-12-2020,3.733
05-12-2020,3.715
04-12-2020,3.711
03-12-2020,3.706
02-12-2020,3.709
01-12-2020,3.708
28-11-2020,3.718
27-11-2020,3.709
26-11-2020,3.704
25-11-2020,3.678
24-11-2020,3.635
21-11-2020,3.619
20-11-2020,3.610
19-11-2020,3.599
18-11-2020,3.588
17-11-2020,3.586
14-11-2020,3.586
13-11-2020,3.600
11-11-2020,3.543
10-11-2020,3.521
07-11-2020,3.507
06-11-2020,3.514
05-11-2020,3.509
04-11-2020,3.488
03-11-2020,3.484
31-10-2020,3.484
30-10-2020,3.487
29-10-2020,3.513
28-10-2020,3.528
27-10-2020,3.526
24-10-2020,3.539
23-10-2020,3.532
22-10-2020,3.527
21-10-2020,3.559
20-10-2020,3.563
17-10-2020,3.554
16-10-2020,3.546
15-10-2020,3.536
14-10-2020,3.534
13-10-2020,3.536
10-10-2020,3.540
09-10-2020,3.531
08-10-2020,3.510
07-10-2020,3.504
06-10-2020,3.493
03-10-2020,3.489
02-10-2020,3.510
01-10-2020,3.530
30-09-2020,3.535
29-09-2020,3.512
26-09-2020,3.487
25-09-2020,3.479
24-09-2020,3.479
23-09-2020,3.478
22-09-2020,3.492
19-09-2020,3.490
18-09-2020,3.466
17-09-2020,3.441
16-09-2020,3.439
15-09-2020,3.443
12-09-2020,3.451
11-09-2020,3.446
10-09-2020,3.461
09-09-2020,3.475
